Contract,,,,,,,,,,,,,,,,,,,,,,,,
Contract Name,Contract No.,Contract Status,Contract Type,Vendor(Vendor)_Vendor ID,Contract Document Code,Phase,City,Department ID,Contract Total Amount,Approved Job Orders Total,Not-Yet Approved Job Orders Total,Available Amount,NTP Date Construction/Sign Date Design,Award Date (Construction) / Sign Date (Design),Contract Duration,Revised Timeline,State_State,Contract(Master Contract)_Contract No.,Project Names,Type of Service,Project Delivery Method,Encumbrance/Not to Exceed (MA),Award Date,Award Date_Award Date
Job Order Master Transportation Talis Construction 3rd Option Year,MA-F165-13000770Y3,Approved,Job Order Master,CNV570044,MA,104 - Construction,Tempe,F165,12000000,9432142.72,844902.84,1722954.44,12/05/2014 00:00:00,12/05/2014 00:00:00,364,365,AZ,,,Construction,Job Order Contracting (JOC),0,,
CP1058 Mesa Center for Higher Education Second Floor Renovation Adaptive Architects Project Order,DO-F165-21006902,Approved,Project Order,CNV380229,DO,102 - Design,Mesa,F165,60151,0,0,60151,04/01/2021 00:00:00,04/01/2021 00:00:00,60,61,AZ,MA-F165-21000157,"Mesa Center for Higher Education Second Floor Renovation, Mesa Center for Higher Education Second Floor Renovation - FUNDING ONLY",Professional Service,NA,0,,
CP0544 PSTF Training Track - Strand Associates Project Order,DO-F165-20005557,Approved,Project Order,VS0000000886,DO,102 - Design,Phoenix,F165,112185,0,0,112185,01/15/2020 00:00:00,01/15/2020 00:00:00,560,561,AZ,MA-F165-19000014R1,"MPSTF - Driving Track, MPSTF - Driving Track FUNDING ONLY",Professional Service,NA,112185,,
CP0695 Police Evidence Facility CMAR Pre-Construction Services Willmeng,CT-F165-22000087,Approved,CMAR Pre-Construction Services Contract,VS0000011888,CT,102 - Design,Phoenix,F165,137380,0,0,137380,02/23/2022 00:00:00,02/23/2022 00:00:00,321,322,AZ,,"Police Evidence Facility, Police Evidence Facility - FUNDING ONLY",Construction,Construction Manager at Risk (CMAR),0,,
"JOC-EL20 Job Order Contract Master: Rosendin Electric, Inc.",MA-F165-21000129,Approved,Job Order Master,VS0000006927,MA,104 - Construction,San Jose,F165,3000000,405343.85,0,2594656.15,09/21/2020 00:00:00,09/21/2020 00:00:00,365,366,CA,,,Construction,Job Order Contracting (JOC),3000000,,
Master On-Call WWW Plant Services - Brown & Caldwell,MA-F165-21000089,Approved,Design Professional Master Contract,CNV117684,MA,,San Francisco,F165,1000000,427577,0,572423,,10/15/2020 00:00:00,0,0,CA,,,Professional Service,NA,0,,
LF0487 Mesa Police Department RTCC-Fusion Center - Adaptive Architects Design Contract,DO-F165-21009511,Approved,Project Order,CNV380229,DO,120 - Direct Expenses,Mesa,F165,45600,0,0,45600,07/06/2021 00:00:00,07/06/2021 00:00:00,60,61,AZ,MA-F165-21000157,"Mesa PD RTCC /  Fusion Center, Mesa PD RTCC /  Fusion Center - FUNDING ONLY",Professional Service,NA,20120,,
CP1060 Eastern Canal Shared-Use Path: Brown Road to Broadway Road - Y2K Design Contract,DO-F165-22009948,Approved,Project Order,VS0000011279,DO,102 - Design,Mesa,F165,156190,0,0,156190,06/01/2022 00:00:00,06/01/2022 00:00:00,250,251,AZ,MA-F165-21000118R1,"Eastern Canal - Brown to Broadway, Eastern Canal - Brown to Broadway - FUNDING ONLY",Professional Service,NA,156190,,
LF0108 Natural History Museum Lighting Replacement CORE Job Order,DO-F165-21002105,Approved,Job Order,VS0000002305,DO,104 - Construction,Phoenix,F165,532341.8,0,0,532341.8,10/22/2020 00:00:00,10/20/2020 00:00:00,140,232,AZ,MA-F165-19003214R1,"Lighting Replacements at Museum Natural History, Lighting Replacements at Museum Natural History-Funding only",Construction,Job Order Contracting (JOC),532341.8,,
14000254,MA-F165-14000254,Approved,Design Professional Master Contract,VS0000001561,MA,,Phoenix,F165,1000000,0,0,1000000,12/22/2011 00:00:00,06/10/2014 00:00:00,,0,AZ,,,Professional Service,,1000000,,
