Invoice(Invoice Auto ID)_Invoice No.,Item No.,Contract(Contract ID)_Contract No.,Contract Line Item(Contract Line Item Auto ID)_Line No.,Amount (Converted),Implementation Project(Project)_Project ID,Line Item Type,Unit Price,SOV Item(SOV Item Auto ID)_SOV Item ID-Name,Unit Price (Converted),Vendor(Vendor)_Vendor ID,Amount Less Retainage,Amount,Overhead,Profit,CIP Unit(Unit ID)_Unit Short Name
001,1,ct-f165-908490389402,1,1088494,,,11,,11,,1088494,1088494,0,0,LS
001test,1,ct-f165-908490389402,1,0,,,11,,11,,0,0,0,0,LS
010920TEST,1,DO-F165-101719TEST,1,250,,,250000,,250000,,250,250,0,0,
011401162F,1,CT-F165-15000072,1,23315.5,,,30469,,30469,,23315.5,23315.5,0,0,
011401162F,2,CT-F165-15000072,2,3671.5,,,20363,,20363,,3671.5,3671.5,0,0,
0114351,1,DO-F165-21002600,1,171401,,,171401,,171401,,171401,171401,0,0,
0114351 - 2,1,DO-F165-21002600,1,19601,,,171401,,171401,,19601,19601,0,0,
0115096,1,DO-F165-21002600,1,12787.75,,,171401,,171401,,12787.75,12787.75,0,0,
011520TEST,1,DO-F165-101719TEST,1,250,,,250000,,250000,,250,250,0,0,
0115667,1,DO-F165-21002600,1,6091.25,,,171401,,171401,,6091.25,6091.25,0,0,
0116208,1,DO-F165-21002600,1,2750,,,171401,,171401,,2750,2750,0,0,
0116927,1,DO-F165-21002600,1,2785,,,171401,,171401,,2785,2785,0,0,
0117557,1,DO-F165-21002600,1,3392.5,,,171401,,171401,,3392.5,3392.5,0,0,
011810.01-200101S,1,DO-F165-TIMESHEETCEI,1,14040,,,250000,,250000,,14040,14040,0,0,
0118169,1,DO-F165-21002600,1,360,,,171401,,171401,,360,360,0,0,
0118810.01-190707S,1,DO-F165-TIMESHEETCEI,1,14670,,,250000,,250000,,14670,14670,0,0,
0118810.01-190808S,1,DO-F165-TIMESHEETCEI,1,15120,,,250000,,250000,,15120,15120,0,0,
0118810.01-190909S,1,DO-F165-TIMESHEETCEI,1,12600,,,250000,,250000,,12600,12600,0,0,
